"Log","Time","Line","Event","View","OldImage","NewImage","TemplateImage","Handling"
"base","2026-05-10 03:48:40.584","770392","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-03.48.40.584_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-03.48.40.605_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64\debug\roguelike\encounter\2026.05.10-03.48.40.628_raw.png","fall back to the latest viewport"
"(3)","2026-05-10 01:41:38.813","100447","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-01.41.38.813_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-01.41.38.840_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-01.41.38.869_raw.png","fall back to the latest viewport"
"(3)","2026-05-10 01:52:35.786","156446","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-01.52.35.786_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-01.52.35.810_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-01.52.35.831_raw.png","fall back to the latest viewport"
"(3)","2026-05-10 02:02:07.862","196617","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.02.07.862_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.02.07.887_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.02.07.914_raw.png","fall back to the latest viewport"
"(3)","2026-05-10 02:13:55.705","266751","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.13.55.705_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.13.55.732_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.13.55.756_raw.png","fall back to the latest viewport"
"(3)","2026-05-10 02:23:42.028","310512","烛堂","[1,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.23.42.28_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.23.42.57_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.23.42.90_raw.png","fall back to the latest viewport"
"(3)","2026-05-10 02:35:27.964","368058","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.35.27.964_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.35.27.992_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.35.28.14_raw.png","fall back to the latest viewport"
"(3)","2026-05-10 02:44:39.352","409037","烛堂","[1,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.44.39.352_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.44.39.379_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.44.39.407_raw.png","fall back to the latest viewport"
"(3)","2026-05-10 02:56:41.547","467933","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.56.41.549_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.56.41.575_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-02.56.41.599_raw.png","fall back to the latest viewport"
"(3)","2026-05-10 03:09:18.895","535719","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.09.18.895_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.09.18.922_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.09.18.947_raw.png","fall back to the latest viewport"
"(3)","2026-05-10 03:24:41.184","644186","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.24.41.184_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.24.41.211_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.24.41.237_raw.png","fall back to the latest viewport"
"(3)","2026-05-10 03:37:18.753","714031","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.37.18.753_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.37.18.781_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.37.18.805_raw.png","fall back to the latest viewport"
"(3)","2026-05-10 03:48:39.133","774283","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.48.39.133_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.48.39.156_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.48.39.177_raw.png","fall back to the latest viewport"
"(3)","2026-05-10 03:58:38.930","813462","烛堂","[2,4]","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.58.38.930_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.58.38.960_raw.png","D:\ShadowfaxData\Downloads\MAA-v10.0.0-win-x64 (3)\debug\roguelike\encounter\2026.05.10-03.58.38.986_raw.png","fall back to the latest viewport"
